Country ,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Tunisia,Middle East and Northern Africa,128,4.392199993,0.874742687,0.872167706,0.781156719,0.235860556,0.043899573,0.055881143,1.528496742
Mauritania,Sub-Saharan Africa,129,4.374599934,0.539684892,1.113323569,0.425184816,0.185714483,0.122257635,0.128899664,1.85955739
Sri Lanka,Southern Asia,130,4.327000141,0.897986948,1.19494009,0.792036712,0.528632462,0.049444564,0.252666146,0.611288548
Myanmar,Southeastern Asia,133,4.308000088,0.67809093,1.098178267,0.495443076,0.597478867,0.187530354,0.569813728,0.681462526
Togo,Sub-Saharan Africa,135,4.187200069,0.268116266,0.547622859,0.342731178,0.303539038,0.114826456,0.200774252,2.409595251
Ethiopia,Sub-Saharan Africa,136,4.186200142,0.315125644,1.001103282,0.483846247,0.41256687,0.117437035,0.227698103,1.628459215
Madagascar,Sub-Saharan Africa,137,4.165599823,0.244553208,0.823694348,0.500617027,0.192967549,0.076248638,0.191190064,2.136298418
Egypt,Middle East and Northern Africa,138,4.151400089,0.875228941,0.982539535,0.596911311,0.373684734,0.095461793,0.068801254,1.158818245
Sierra Leone,Sub-Saharan Africa,139,3.926399946,0.240560383,0.747984946,0.203953966,0.382027686,0.047940936,0.257647008,2.046271801
Burundi,Sub-Saharan Africa,140,3.775300026,0,0.403575271,0.295212835,0.275399059,0.212186828,0.187401786,2.401507378
Zambia,Sub-Saharan Africa,141,3.759399891,0.536833763,0.896037281,0.36359334,0.49131754,0.086705238,0.250620902,1.134339333
Haiti,Latin America and Caribbean,142,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.161935672,0.463909656,1.619916916
India,Southern Asia,144,3.573299885,0.730576158,0.644198656,0.54057014,0.581142247,0.105587982,0.237072483,0.734130859
Malawi,Sub-Saharan Africa,145,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,0.131633952,0.213185057,1.552718282
Yemen,Middle East and Northern Africa,146,3.527400017,0.392701775,1.177477121,0.41500017,0.243721485,0.087352127,0.094689012,1.116472721
Botswana,Sub-Saharan Africa,147,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.101786368,0.033407487,0.257240534
Tanzania,Sub-Saharan Africa,148,3.476200104,0.457163125,0.872674644,0.442677855,0.509343088,0.203880861,0.27154091,0.718963385
Rwanda,Sub-Saharan Africa,150,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.485542476,0.235704988,0.548444986
Zimbabwe,Sub-Saharan Africa,151,3.299200058,0.425564021,1.047835231,0.375037611,0.37740472,0.080928579,0.151349187,0.841031075
Afghanistan,Southern Asia,153,2.566900015,0.30070585,0.356433839,0.266051531,0,0.001225785,0.135234714,1.507235646
